1627305636.847681	0.686800	-0.080700	-0.749500	0.016400	-0.041000	0.049500
1627305636.848608	0.680100	-0.085700	-0.750600	0.029500	-0.040400	0.048900
1627305636.849436	0.678600	-0.088300	-0.764400	0.026500	-0.038200	0.051300
1627305636.850345	0.676900	-0.088000	-0.775400	-0.000700	-0.034600	0.054000
1627305636.853614	0.676900	-0.088000	-0.775400	-0.000700	-0.034600	0.054000
1627305636.942272	0.676900	-0.088000	-0.775400	-0.000700	-0.034600	0.054000
1627305636.942683	0.757900	0.017200	-0.825400	1.190200	0.472700	-0.387300
1627305636.943122	0.767300	0.015500	-0.813100	1.242100	0.509700	-0.387900
1627305636.945299	0.759600	0.015900	-0.796500	1.270500	0.530500	-0.388500
1627305636.945720	0.756800	0.021200	-0.783800	1.320300	0.547600	-0.389100
1627305636.946124	0.756500	0.023600	-0.772500	1.403100	0.566200	-0.384900
1627305636.946557	0.760900	0.024500	-0.756600	1.448300	0.579300	-0.378700
1627305636.948727	0.757900	0.027700	-0.734500	1.481900	0.582700	-0.371100
1627305636.949183	0.752000	0.026200	-0.724900	1.527400	0.574800	-0.357700
1627305636.949585	0.747200	0.025500	-0.727400	1.527700	0.568700	-0.344500
1627305636.950011	0.749100	0.020500	-0.711100	1.530400	0.566800	-0.327700
1627305636.952086	0.752000	0.013400	-0.684600	1.575900	0.552500	-0.316400
1627305636.952543	0.757300	0.011600	-0.671900	1.605300	0.529900	-0.314000
1627305636.952978	0.758500	0.014400	-0.666900	1.636400	0.503600	-0.313100
1627305636.953427	0.757700	0.016700	-0.665300	1.685900	0.470600	-0.312200
1627305636.956099	0.764000	0.014600	-0.654300	1.722200	0.437900	-0.311900
1627305636.956500	0.760300	0.008500	-0.644400	1.751600	0.402500	-0.312800
1627305636.956901	0.748200	0.002800	-0.643200	1.774800	0.368600	-0.307300
1627305636.957346	0.734600	-0.004600	-0.644800	1.804700	0.348700	-0.296300
1627305636.957749	0.726400	-0.017300	-0.642700	1.823900	0.343200	-0.279800
1627305636.960249	0.726400	-0.032000	-0.629900	1.847500	0.340800	-0.266000
1627305636.960695	0.739000	-0.048600	-0.618700	1.872800	0.334400	-0.267600
1627305636.961102	0.743300	-0.066800	-0.612800	1.869400	0.322800	-0.278600
1627305636.961505	0.742200	-0.082200	-0.604700	1.856600	0.302300	-0.303000
1627305636.963268	0.742400	-0.099000	-0.592700	1.848100	0.275100	-0.337500
1627305636.963673	0.739300	-0.111700	-0.586400	1.827000	0.244900	-0.372600
1627305636.964076	0.734700	-0.127300	-0.578600	1.800100	0.211900	-0.417200
1627305636.964526	0.729900	-0.136500	-0.577000	1.793400	0.187200	-0.461500
1627305636.966620	0.727400	-0.144000	-0.580200	1.775100	0.174300	-0.502100
1627305636.967023	0.735000	-0.146100	-0.577900	1.740600	0.160900	-0.550100
1627305636.967426	0.751500	-0.145100	-0.563600	1.728000	0.142300	-0.603500
1627305636.967874	0.754900	-0.142100	-0.552200	1.707000	0.115700	-0.653300
1627305636.969516	0.743300	-0.126300	-0.549000	1.654700	0.082100	-0.697600
1627305636.969942	0.733200	-0.107100	-0.548000	1.621700	0.047900	-0.727600
1627305636.970364	0.733200	-0.099400	-0.539400	1.637000	0.024700	-0.742500
1627305636.972021	0.731400	-0.094700	-0.531500	1.594300	-0.001300	-0.745600
